,0
2023-09-25 16:49:02.325,"2023-09-25 16:49:02.325    2.256103
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.350,"2023-09-25 16:49:02.350    2.27636
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.375,"2023-09-25 16:49:02.375    2.325384
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.400,"2023-09-25 16:49:02.400    2.420939
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.425,"2023-09-25 16:49:02.425    2.497064
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.450,"2023-09-25 16:49:02.450    2.502958
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.475,"2023-09-25 16:49:02.475    2.489765
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.500,"2023-09-25 16:49:02.500    2.537738
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.525,"2023-09-25 16:49:02.525    2.610791
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.550,"2023-09-25 16:49:02.550    2.687325
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.575,"2023-09-25 16:49:02.575    2.736466
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.600,"2023-09-25 16:49:02.600    2.736677
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.625,"2023-09-25 16:49:02.625    2.740446
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.650,"2023-09-25 16:49:02.650    2.727125
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.675,"2023-09-25 16:49:02.675    2.697745
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.700,"2023-09-25 16:49:02.700    2.725728
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.725,"2023-09-25 16:49:02.725    2.737464
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.750,"2023-09-25 16:49:02.750    2.719133
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.775,"2023-09-25 16:49:02.775    2.714082
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.800,"2023-09-25 16:49:02.800    2.685262
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.825,"2023-09-25 16:49:02.825    2.681004
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.850,"2023-09-25 16:49:02.850    2.626418
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.875,"2023-09-25 16:49:02.875    2.620688
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.900,"2023-09-25 16:49:02.900    2.564154
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.925,"2023-09-25 16:49:02.925    2.517571
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.950,"2023-09-25 16:49:02.950    2.519529
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.975,"2023-09-25 16:49:02.975    2.424544
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.000,"2023-09-25 16:49:03    2.364688
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.025,"2023-09-25 16:49:03.025    2.291008
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.050,"2023-09-25 16:49:03.050    2.345868
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.075,"2023-09-25 16:49:03.075    2.36727
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.100,"2023-09-25 16:49:03.100    2.324422
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.125,"2023-09-25 16:49:03.125    2.283112
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.150,"2023-09-25 16:49:03.150    2.200418
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.175,"2023-09-25 16:49:03.175    2.232438
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.200,"2023-09-25 16:49:03.200    2.190583
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.225,"2023-09-25 16:49:03.225    2.1534
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.250,"2023-09-25 16:49:03.250    2.170686
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.275,"2023-09-25 16:49:03.275    2.065209
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.300,"2023-09-25 16:49:03.300    1.939748
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.325,"2023-09-25 16:49:03.325    1.833684
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.350,"2023-09-25 16:49:03.350    1.824805
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.375,"2023-09-25 16:49:03.375    1.818624
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.400,"2023-09-25 16:49:03.400    1.795147
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.425,"2023-09-25 16:49:03.425    1.779249
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.450,"2023-09-25 16:49:03.450    1.773787
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.475,"2023-09-25 16:49:03.475    1.78115
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.500,"2023-09-25 16:49:03.500    1.77536
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.525,"2023-09-25 16:49:03.525    1.878367
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.550,"2023-09-25 16:49:03.550    1.857693
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.575,"2023-09-25 16:49:03.575    1.885806
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.600,"2023-09-25 16:49:03.600    1.887167
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.625,"2023-09-25 16:49:03.625    1.812275
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.650,"2023-09-25 16:49:03.650    1.803043
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.675,"2023-09-25 16:49:03.675    1.677455
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.700,"2023-09-25 16:49:03.700    1.65889
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.725,"2023-09-25 16:49:03.725    1.569874
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.750,"2023-09-25 16:49:03.750    1.55445
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.775,"2023-09-25 16:49:03.775    1.583605
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.800,"2023-09-25 16:49:03.800    1.519234
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.825,"2023-09-25 16:49:03.825    1.602585
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.850,"2023-09-25 16:49:03.850    1.61454
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.875,"2023-09-25 16:49:03.875    1.639566
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.900,"2023-09-25 16:49:03.900    1.857003
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.925,"2023-09-25 16:49:03.925    1.899436
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.950,"2023-09-25 16:49:03.950    1.896126
Freq: 25L, dtype: float64"
2023-09-25 16:49:03.975,"2023-09-25 16:49:03.975    1.994487
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.000,"2023-09-25 16:49:04    2.006144
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.025,"2023-09-25 16:49:04.025    2.173925
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.050,"2023-09-25 16:49:04.050    2.227501
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.075,"2023-09-25 16:49:04.075    2.200308
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.100,"2023-09-25 16:49:04.100    2.195522
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.125,"2023-09-25 16:49:04.125    2.110828
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.150,"2023-09-25 16:49:04.150    2.088993
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.175,"2023-09-25 16:49:04.175    2.050551
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.200,"2023-09-25 16:49:04.200    2.028117
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.225,"2023-09-25 16:49:04.225    1.938924
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.250,"2023-09-25 16:49:04.250    1.86011
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.275,"2023-09-25 16:49:04.275    1.79755
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.300,"2023-09-25 16:49:04.300    1.653004
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.325,"2023-09-25 16:49:04.325    1.445508
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.350,"2023-09-25 16:49:04.350    1.26372
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.375,"2023-09-25 16:49:04.375    1.280742
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.400,"2023-09-25 16:49:04.400    1.282822
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.425,"2023-09-25 16:49:04.425    1.323156
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.450,"2023-09-25 16:49:04.450    1.407599
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.475,"2023-09-25 16:49:04.475    1.430837
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.500,"2023-09-25 16:49:04.500    1.488293
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.525,"2023-09-25 16:49:04.525    1.550591
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.550,"2023-09-25 16:49:04.550    1.715824
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.575,"2023-09-25 16:49:04.575    1.901832
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.600,"2023-09-25 16:49:04.600    2.028485
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.625,"2023-09-25 16:49:04.625    2.061966
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.650,"2023-09-25 16:49:04.650    2.049677
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.675,"2023-09-25 16:49:04.675    2.175557
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.700,"2023-09-25 16:49:04.700    2.173147
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.725,"2023-09-25 16:49:04.725    2.282978
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.750,"2023-09-25 16:49:04.750    2.299799
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.775,"2023-09-25 16:49:04.775    2.206016
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.800,"2023-09-25 16:49:04.800    2.245875
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.825,"2023-09-25 16:49:04.825    2.17007
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.850,"2023-09-25 16:49:04.850    2.221506
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.875,"2023-09-25 16:49:04.875    2.155887
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.900,"2023-09-25 16:49:04.900    2.048092
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.925,"2023-09-25 16:49:04.925    1.965886
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.950,"2023-09-25 16:49:04.950    1.856782
Freq: 25L, dtype: float64"
2023-09-25 16:49:04.975,"2023-09-25 16:49:04.975    1.776333
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.000,"2023-09-25 16:49:05    1.722306
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.025,"2023-09-25 16:49:05.025    1.676973
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.050,"2023-09-25 16:49:05.050    1.593173
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.075,"2023-09-25 16:49:05.075    1.625659
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.100,"2023-09-25 16:49:05.100    1.634541
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.125,"2023-09-25 16:49:05.125    1.640371
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.150,"2023-09-25 16:49:05.150    1.675993
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.175,"2023-09-25 16:49:05.175    1.647148
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.200,"2023-09-25 16:49:05.200    1.671982
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.225,"2023-09-25 16:49:05.225    1.706343
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.250,"2023-09-25 16:49:05.250    1.80809
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.275,"2023-09-25 16:49:05.275    2.101304
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.300,"2023-09-25 16:49:05.300    2.28284
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.325,"2023-09-25 16:49:05.325    2.44745
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.350,"2023-09-25 16:49:05.350    2.633487
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.375,"2023-09-25 16:49:05.375    2.805909
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.400,"2023-09-25 16:49:05.400    2.882771
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.425,"2023-09-25 16:49:05.425    2.840932
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.450,"2023-09-25 16:49:05.450    2.883459
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.475,"2023-09-25 16:49:05.475    2.747061
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.500,"2023-09-25 16:49:05.500    2.574352
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.525,"2023-09-25 16:49:05.525    2.273892
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.550,"2023-09-25 16:49:05.550    1.988383
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.575,"2023-09-25 16:49:05.575    1.739002
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.600,"2023-09-25 16:49:05.600    1.496579
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.625,"2023-09-25 16:49:05.625    1.401605
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.650,"2023-09-25 16:49:05.650    1.218133
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.675,"2023-09-25 16:49:05.675    1.203628
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.700,"2023-09-25 16:49:05.700    1.168284
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.725,"2023-09-25 16:49:05.725    1.098911
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.750,"2023-09-25 16:49:05.750    1.209088
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.775,"2023-09-25 16:49:05.775    1.187086
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.800,"2023-09-25 16:49:05.800    1.283347
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.825,"2023-09-25 16:49:05.825    1.352548
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.850,"2023-09-25 16:49:05.850    1.344358
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.875,"2023-09-25 16:49:05.875    1.430058
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.900,"2023-09-25 16:49:05.900    1.412813
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.925,"2023-09-25 16:49:05.925    1.393551
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.950,"2023-09-25 16:49:05.950    1.463405
Freq: 25L, dtype: float64"
2023-09-25 16:49:05.975,"2023-09-25 16:49:05.975    1.521345
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.000,"2023-09-25 16:49:06    1.502215
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.025,"2023-09-25 16:49:06.025    1.567358
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.050,"2023-09-25 16:49:06.050    1.620308
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.075,"2023-09-25 16:49:06.075    1.690171
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.100,"2023-09-25 16:49:06.100    1.724759
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.125,"2023-09-25 16:49:06.125    1.757668
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.150,"2023-09-25 16:49:06.150    1.749451
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.175,"2023-09-25 16:49:06.175    1.680217
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.200,"2023-09-25 16:49:06.200    1.667384
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.225,"2023-09-25 16:49:06.225    1.652552
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.250,"2023-09-25 16:49:06.250    1.648406
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.275,"2023-09-25 16:49:06.275    1.588954
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.300,"2023-09-25 16:49:06.300    1.500925
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.325,"2023-09-25 16:49:06.325    1.439643
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.350,"2023-09-25 16:49:06.350    1.392414
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.375,"2023-09-25 16:49:06.375    1.387015
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.400,"2023-09-25 16:49:06.400    1.446489
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.425,"2023-09-25 16:49:06.425    1.445929
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.450,"2023-09-25 16:49:06.450    1.363366
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.475,"2023-09-25 16:49:06.475    1.356305
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.500,"2023-09-25 16:49:06.500    1.351266
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.525,"2023-09-25 16:49:06.525    1.3906
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.550,"2023-09-25 16:49:06.550    1.485368
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.575,"2023-09-25 16:49:06.575    1.531086
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.600,"2023-09-25 16:49:06.600    1.605272
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.625,"2023-09-25 16:49:06.625    1.60326
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.650,"2023-09-25 16:49:06.650    1.634284
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.675,"2023-09-25 16:49:06.675    1.742598
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.700,"2023-09-25 16:49:06.700    1.795563
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.725,"2023-09-25 16:49:06.725    1.879677
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.750,"2023-09-25 16:49:06.750    1.942858
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.775,"2023-09-25 16:49:06.775    2.051365
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.800,"2023-09-25 16:49:06.800    2.093074
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.825,"2023-09-25 16:49:06.825    2.079185
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.850,"2023-09-25 16:49:06.850    2.148624
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.875,"2023-09-25 16:49:06.875    2.168992
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.900,"2023-09-25 16:49:06.900    2.249325
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.925,"2023-09-25 16:49:06.925    2.258221
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.950,"2023-09-25 16:49:06.950    2.2473
Freq: 25L, dtype: float64"
2023-09-25 16:49:06.975,"2023-09-25 16:49:06.975    2.27735
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.000,"2023-09-25 16:49:07    2.23293
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.025,"2023-09-25 16:49:07.025    2.21414
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.050,"2023-09-25 16:49:07.050    2.196456
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.075,"2023-09-25 16:49:07.075    2.189839
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.100,"2023-09-25 16:49:07.100    2.083774
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.125,"2023-09-25 16:49:07.125    1.950149
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.150,"2023-09-25 16:49:07.150    1.845895
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.175,"2023-09-25 16:49:07.175    1.68148
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.200,"2023-09-25 16:49:07.200    1.567272
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.225,"2023-09-25 16:49:07.225    1.452844
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.250,"2023-09-25 16:49:07.250    1.342744
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.275,"2023-09-25 16:49:07.275    1.30692
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.300,"2023-09-25 16:49:07.300    1.285793
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.325,"2023-09-25 16:49:07.325    1.195492
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.350,"2023-09-25 16:49:07.350    1.170031
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.375,"2023-09-25 16:49:07.375    1.196213
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.400,"2023-09-25 16:49:07.400    1.262378
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.425,"2023-09-25 16:49:07.425    1.67135
Freq: 25L, dtype: float64"
2023-09-25 16:49:07.450,"2023-09-25 16:49:07.450    1.885166
Freq: 25L, dtype: float64"
